planner,heuristic,num_objects,trial_num,est_cost,cost,states_explored,time_taken
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,30,7,1728.4240852812998,1183.5428501723609,120.0,0.11491031
MULTI_BOUND_G,MIXED_G,30,7,947.9026900157571,990.2268693768671,5680.0,7.332215943
HEURISTIC,LAZY,30,8,1003.7170073292755,1056.7967456129443,120.0,0.118574257
HEURISTIC,DILIGENT,30,8,1090.0220174204446,1090.6484805430596,120.0,4.075627884
HEURISTIC,ANTICIPATORY,30,8,1042.7970380171448,1099.4041409146153,120.0,0.213405336
HEURISTIC,ANTICIPATORY_ONCE,30,8,1003.7170073292755,1056.7967456129443,120.0,0.114399769
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,30,8,2428.256380448168,1301.4154230486683,120.0,0.115585229
MULTI_BOUND_G,MIXED_G,30,8,1004.4149634745968,1056.9914596028086,5932.0,8.412014114
HEURISTIC,LAZY,30,9,1054.0710114364026,1110.2014775202258,120.0,0.115298845
HEURISTIC,DILIGENT,30,9,1092.5854442617506,1097.3206974053453,120.0,4.123968775
HEURISTIC,ANTICIPATORY,30,9,1049.6638493738951,1110.2014775202258,120.0,0.215563762
HEURISTIC,ANTICIPATORY_ONCE,30,9,1054.0710114364026,1110.2014775202258,120.0,0.165161047
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,30,9,2290.079589219792,1296.0819888819146,120.0,0.118548376
MULTI_BOUND_G,MIXED_G,30,9,1054.5917209903307,1110.5060723063652,5516.0,6.753632736
HEURISTIC,LAZY,50,0,1443.717765428343,1515.1819167024898,200.0,0.316125616
HEURISTIC,DILIGENT,50,0,1535.4071596751055,1533.3006145901204,200.0,10.026185296
HEURISTIC,ANTICIPATORY,50,0,1475.0888259630005,1553.163369136651,200.0,0.72154479
HEURISTIC,ANTICIPATORY_ONCE,50,0,1443.717765428343,1515.1819167024898,200.0,0.310095355
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,50,0,9837.450452742058,1918.8867652914196,200.0,0.312705163
