planner,heuristic,num_objects,trial_num,est_cost,cost,states_explored,time_taken
HEURISTIC,DILIGENT,300,1,8567.546458484383,8575.721834731006,1200,371.156461397
HEURISTIC,ANTICIPATORY,300,1,7454.738491984062,9600.68689391444,1200,455.042602822
HEURISTIC,ANTICIPATORY_ONCE,300,1,7939.114430458632,8527.306831568454,1200,12.719497194
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,300,1,7461.15171088844,9413.733302926807,1200,12.870326177
MULTI_BOUND_G,MIXED_G,300,1,7923.6287362783405,8510.488269282198,7228,102.320424709
HEURISTIC,LAZY,300,2,7433.625267426679,8067.07568410189,1200,12.986757268
HEURISTIC,DILIGENT,300,2,8026.163313095704,8098.080445163797,1200,355.303160529
HEURISTIC,ANTICIPATORY,300,2,7248.45719209786,8663.182006218136,1200,451.300319568
HEURISTIC,ANTICIPATORY_ONCE,300,2,7433.625267426679,8067.07568410189,1200,12.759889328
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,300,2,7268.097828860696,8543.105437831035,1200,12.679041815
MULTI_BOUND_G,MIXED_G,300,2,7426.7459589647715,8058.196097421458,7592,109.746011365
